Source,Target,Weight
2.000000,1.000000,2252.000000
1.000000,2.000000,2252.000000
3.000000,2.000000,2473.000000
2.000000,3.000000,2473.000000
4.000000,3.000000,2763.000000
3.000000,4.000000,2763.000000
5.000000,4.000000,573.000000
4.000000,5.000000,573.000000
6.000000,5.000000,454.000000
5.000000,6.000000,454.000000
7.000000,6.000000,484.000000
6.000000,7.000000,484.000000
8.000000,7.000000,497.000000
7.000000,8.000000,497.000000
10.000000,8.000000,908.000000
14.000000,9.000000,1.000000
8.000000,10.000000,908.000000
13.000000,10.000000,2990.000000
12.000000,11.000000,1.000000
11.000000,12.000000,1.000000
17.000000,12.000000,246.000000
10.000000,13.000000,2990.000000
16.000000,13.000000,2761.000000
9.000000,14.000000,1.000000
15.000000,14.000000,246.000000
14.000000,15.000000,246.000000
18.000000,15.000000,412.000000
13.000000,16.000000,2761.000000
19.000000,16.000000,3383.000000
12.000000,17.000000,246.000000
20.000000,17.000000,412.000000
15.000000,18.000000,412.000000
21.000000,18.000000,730.000000
16.000000,19.000000,3383.000000
21.000000,19.000000,974.000000
17.000000,20.000000,412.000000
21.000000,20.000000,730.000000
18.000000,21.000000,730.000000
19.000000,21.000000,974.000000
20.000000,21.000000,730.000000
22.000000,21.000000,2228.000000
21.000000,22.000000,2228.000000
24.000000,22.000000,1206.000000
25.000000,23.000000,71.000000
22.000000,24.000000,1206.000000
26.000000,24.000000,3164.000000
23.000000,25.000000,71.000000
35.000000,25.000000,1952.000000
24.000000,26.000000,3164.000000
35.000000,26.000000,1627.000000
36.000000,27.000000,11.000000
36.000000,28.000000,16.000000
36.000000,29.000000,11.000000
36.000000,30.000000,16.000000
36.000000,31.000000,16.000000
36.000000,32.000000,16.000000
36.000000,33.000000,16.000000
36.000000,34.000000,16.000000
25.000000,35.000000,1952.000000
26.000000,35.000000,1627.000000
36.000000,35.000000,4382.000000
27.000000,36.000000,11.000000
28.000000,36.000000,16.000000
29.000000,36.000000,11.000000
30.000000,36.000000,16.000000
31.000000,36.000000,16.000000
32.000000,36.000000,16.000000
33.000000,36.000000,16.000000
34.000000,36.000000,16.000000
35.000000,36.000000,4382.000000
37.000000,36.000000,1886.000000
38.000000,36.000000,69.000000
39.000000,36.000000,69.000000
36.000000,37.000000,1886.000000
36.000000,38.000000,69.000000
40.000000,38.000000,80.000000
36.000000,39.000000,69.000000
41.000000,39.000000,80.000000
38.000000,40.000000,80.000000
39.000000,41.000000,80.000000
