Source,Target,Weight
2.000000,1.000000,288.000000
1.000000,2.000000,288.000000
3.000000,2.000000,257.000000
2.000000,3.000000,257.000000
4.000000,3.000000,262.000000
3.000000,4.000000,262.000000
5.000000,4.000000,284.000000
4.000000,5.000000,284.000000
6.000000,5.000000,276.000000
5.000000,6.000000,276.000000
7.000000,6.000000,297.000000
6.000000,7.000000,297.000000
8.000000,7.000000,268.000000
7.000000,8.000000,268.000000
9.000000,8.000000,248.000000
8.000000,9.000000,248.000000
10.000000,9.000000,298.000000
9.000000,10.000000,298.000000
11.000000,10.000000,280.000000
10.000000,11.000000,280.000000
12.000000,11.000000,306.000000
11.000000,12.000000,306.000000
13.000000,12.000000,293.000000
12.000000,13.000000,293.000000
14.000000,13.000000,290.000000
13.000000,14.000000,290.000000
15.000000,14.000000,281.000000
14.000000,15.000000,281.000000
16.000000,15.000000,265.000000
15.000000,16.000000,265.000000
17.000000,16.000000,304.000000
16.000000,17.000000,304.000000
18.000000,17.000000,292.000000
17.000000,18.000000,292.000000
19.000000,18.000000,267.000000
18.000000,19.000000,267.000000
20.000000,19.000000,278.000000
19.000000,20.000000,278.000000
