Id,NSize,LensAverage,LabelAverage
1.000000,550.000000,0.049455,2905.865455
2.000000,545.000000,0.093500,2852.056881
3.000000,519.000000,0.143709,2912.633911
4.000000,546.000000,0.192462,2914.060440
5.000000,560.000000,0.238254,2920.310714
6.000000,573.000000,0.287237,2945.835951
7.000000,565.000000,0.332555,2937.771681
8.000000,516.000000,0.380802,2927.798450
9.000000,546.000000,0.431922,2994.562271
10.000000,578.000000,0.476647,3017.067474
11.000000,586.000000,0.525941,2883.409556
12.000000,599.000000,0.570770,2951.555927
13.000000,583.000000,0.618673,3056.598628
14.000000,571.000000,0.666417,2935.374781
15.000000,546.000000,0.713510,2873.915751
16.000000,569.000000,0.763818,2939.472759
17.000000,596.000000,0.809890,2948.424497
18.000000,559.000000,0.855958,2893.908766
19.000000,545.000000,0.904312,3019.845872
20.000000,558.000000,0.951898,2966.041219
