Source,Target,Weight
18.000000,1.000000,0.131193
28.000000,1.000000,0.133389
13.000000,2.000000,0.178312
26.000000,2.000000,0.165589
46.000000,2.000000,0.178312
48.000000,3.000000,0.133389
48.000000,4.000000,0.236318
38.000000,5.000000,0.178312
17.000000,6.000000,0.226591
19.000000,6.000000,0.448445
12.000000,7.000000,0.297292
27.000000,8.000000,0.268431
40.000000,8.000000,0.120763
50.000000,8.000000,0.236318
39.000000,9.000000,0.236318
42.000000,9.000000,1.389225
35.000000,10.000000,0.131193
49.000000,11.000000,0.120763
7.000000,12.000000,0.297292
25.000000,12.000000,0.169943
2.000000,13.000000,0.178312
39.000000,14.000000,0.211261
19.000000,15.000000,0.567951
34.000000,16.000000,0.583900
6.000000,17.000000,0.226591
1.000000,18.000000,0.131193
41.000000,18.000000,0.133389
6.000000,19.000000,0.448445
15.000000,19.000000,0.567951
22.000000,20.000000,0.264289
45.000000,20.000000,0.261830
47.000000,20.000000,0.142900
32.000000,21.000000,0.285800
37.000000,21.000000,0.344332
20.000000,22.000000,0.264289
38.000000,23.000000,0.447000
27.000000,24.000000,0.296043
12.000000,25.000000,0.169943
2.000000,26.000000,0.165589
8.000000,27.000000,0.268431
24.000000,27.000000,0.296043
44.000000,27.000000,0.348545
1.000000,28.000000,0.133389
40.000000,29.000000,0.133389
48.000000,30.000000,0.165589
35.000000,31.000000,0.133389
21.000000,32.000000,0.285800
34.000000,33.000000,0.452009
16.000000,34.000000,0.583900
33.000000,34.000000,0.452009
10.000000,35.000000,0.131193
31.000000,35.000000,0.133389
50.000000,36.000000,0.255877
21.000000,37.000000,0.344332
5.000000,38.000000,0.178312
23.000000,38.000000,0.447000
9.000000,39.000000,0.236318
14.000000,39.000000,0.211261
8.000000,40.000000,0.120763
29.000000,40.000000,0.133389
18.000000,41.000000,0.133389
9.000000,42.000000,1.389225
48.000000,43.000000,0.248081
27.000000,44.000000,0.348545
20.000000,45.000000,0.261830
2.000000,46.000000,0.178312
20.000000,47.000000,0.142900
3.000000,48.000000,0.133389
4.000000,48.000000,0.236318
30.000000,48.000000,0.165589
43.000000,48.000000,0.248081
11.000000,49.000000,0.120763
8.000000,50.000000,0.236318
36.000000,50.000000,0.255877
53.000000,51.000000,0.311879
57.000000,52.000000,0.311879
51.000000,53.000000,0.311879
87.000000,53.000000,0.266779
81.000000,54.000000,0.366496
59.000000,55.000000,0.368873
134.000000,55.000000,0.372235
100.000000,56.000000,0.226591
52.000000,57.000000,0.311879
86.000000,57.000000,0.443539
94.000000,58.000000,0.259270
99.000000,58.000000,0.396314
55.000000,59.000000,0.368873
