Source,Target,Weight
66.000000,1.000000,0.443389
69.000000,1.000000,0.254865
72.000000,1.000000,0.473093
73.000000,1.000000,0.367119
84.000000,1.000000,0.432550
86.000000,1.000000,0.264743
102.000000,1.000000,0.551158
106.000000,1.000000,0.447441
112.000000,1.000000,0.332871
118.000000,1.000000,0.435796
132.000000,1.000000,0.337591
145.000000,1.000000,0.351371
148.000000,1.000000,0.561072
3.000000,2.000000,0.393797
5.000000,2.000000,0.663866
35.000000,2.000000,0.362523
42.000000,2.000000,0.477765
43.000000,2.000000,1.330290
45.000000,2.000000,0.476639
51.000000,2.000000,0.819840
56.000000,2.000000,0.335947
57.000000,2.000000,0.930834
58.000000,2.000000,0.479386
62.000000,2.000000,0.479449
64.000000,2.000000,0.607825
93.000000,2.000000,0.684982
100.000000,2.000000,0.715054
125.000000,2.000000,0.839465
127.000000,2.000000,0.686948
141.000000,2.000000,0.439639
2.000000,3.000000,0.393797
5.000000,3.000000,0.668267
35.000000,3.000000,0.407705
42.000000,3.000000,0.313531
43.000000,3.000000,1.351059
45.000000,3.000000,0.432872
56.000000,3.000000,0.519095
58.000000,3.000000,0.671895
62.000000,3.000000,0.656213
64.000000,3.000000,0.671895
75.000000,3.000000,1.142299
93.000000,3.000000,0.665895
100.000000,3.000000,1.030483
125.000000,3.000000,1.045849
127.000000,3.000000,0.618998
13.000000,4.000000,0.446907
25.000000,4.000000,0.533532
49.000000,4.000000,0.752923
72.000000,4.000000,0.684537
73.000000,4.000000,0.791808
86.000000,4.000000,0.808681
102.000000,4.000000,0.526574
118.000000,4.000000,0.723899
136.000000,4.000000,0.576417
142.000000,4.000000,0.697170
145.000000,4.000000,0.617756
2.000000,5.000000,0.663866
3.000000,5.000000,0.668267
20.000000,5.000000,0.540283
28.000000,5.000000,0.406480
42.000000,5.000000,0.562524
45.000000,5.000000,0.421395
50.000000,5.000000,0.477765
51.000000,5.000000,0.586746
62.000000,5.000000,0.619740
68.000000,5.000000,0.576475
93.000000,5.000000,0.460820
105.000000,5.000000,0.313531
128.000000,5.000000,0.480892
141.000000,5.000000,0.428657
144.000000,5.000000,0.711284
12.000000,6.000000,0.760273
16.000000,6.000000,0.629105
37.000000,6.000000,0.375389
61.000000,6.000000,0.709056
78.000000,6.000000,0.758368
104.000000,6.000000,0.464329
119.000000,6.000000,0.836318
121.000000,6.000000,0.576417
144.000000,6.000000,0.734308
146.000000,6.000000,0.494406
149.000000,6.000000,0.699053
15.000000,7.000000,0.566028
23.000000,7.000000,0.524074
24.000000,7.000000,0.503741
32.000000,7.000000,0.741174
34.000000,7.000000,0.445315
36.000000,7.000000,0.604978
44.000000,7.000000,0.568558
63.000000,7.000000,0.640819
76.000000,7.000000,0.487516
79.000000,7.000000,0.308878
90.000000,7.000000,0.513941
91.000000,7.000000,0.225020
110.000000,7.000000,0.559587
116.000000,7.000000,0.536951
122.000000,7.000000,0.541883
129.000000,7.000000,0.505101
139.000000,7.000000,0.523881
143.000000,7.000000,0.562524
10.000000,8.000000,0.915866
28.000000,8.000000,0.704395
48.000000,8.000000,0.837030
54.000000,8.000000,0.775996
60.000000,8.000000,0.311509
68.000000,8.000000,0.782089
71.000000,8.000000,0.735877
78.000000,8.000000,0.821767
82.000000,8.000000,0.443389
93.000000,8.000000,0.663866
103.000000,8.000000,0.599420
138.000000,8.000000,0.678725
29.000000,9.000000,1.167605
32.000000,9.000000,0.782208
37.000000,9.000000,1.181144
41.000000,9.000000,1.182762
76.000000,9.000000,1.138485
79.000000,9.000000,1.110696
83.000000,9.000000,1.579186
95.000000,9.000000,0.940716
111.000000,9.000000,1.167175
116.000000,9.000000,1.009153
146.000000,9.000000,1.082728
147.000000,9.000000,1.046010
8.000000,10.000000,0.915866
48.000000,10.000000,0.686800
50.000000,10.000000,0.725538
60.000000,10.000000,0.746099
67.000000,10.000000,0.934134
71.000000,10.000000,0.460887
94.000000,10.000000,0.311509
98.000000,10.000000,0.947857
109.000000,10.000000,0.661361
126.000000,10.000000,0.848784
138.000000,10.000000,0.448765
14.000000,11.000000,0.561072
19.000000,11.000000,0.332871
22.000000,11.000000,0.282104
33.000000,11.000000,0.675182
46.000000,11.000000,0.287074
65.000000,11.000000,0.561072
66.000000,11.000000,0.258697
69.000000,11.000000,0.401792
70.000000,11.000000,0.717306
80.000000,11.000000,0.133383
84.000000,11.000000,0.308878
88.000000,11.000000,0.187739
117.000000,11.000000,0.287074
123.000000,11.000000,0.351371
134.000000,11.000000,0.248335
6.000000,12.000000,0.760273
16.000000,12.000000,0.479386
20.000000,12.000000,0.817956
26.000000,12.000000,0.760273
31.000000,12.000000,0.938935
38.000000,12.000000,0.673804
39.000000,12.000000,0.975449
40.000000,12.000000,0.531456
53.000000,12.000000,0.918533
104.000000,12.000000,0.707876
119.000000,12.000000,0.813085
121.000000,12.000000,0.717927
144.000000,12.000000,0.502293
146.000000,12.000000,0.737567
4.000000,13.000000,0.446907
18.000000,13.000000,0.545720
21.000000,13.000000,0.709864
25.000000,13.000000,0.179113
49.000000,13.000000,0.520638
72.000000,13.000000,0.358132
86.000000,13.000000,0.536951
97.000000,13.000000,0.583679
99.000000,13.000000,0.452277
136.000000,13.000000,0.374044
142.000000,13.000000,0.424998
145.000000,13.000000,0.503915
150.000000,13.000000,0.554021
11.000000,14.000000,0.561072
33.000000,14.000000,0.688363
65.000000,14.000000,0.457374
66.000000,14.000000,0.400149
70.000000,14.000000,0.503915
80.000000,14.000000,0.656213
84.000000,14.000000,0.362819
88.000000,14.000000,0.669381
102.000000,14.000000,0.536951
117.000000,14.000000,0.681053
123.000000,14.000000,0.248335
134.000000,14.000000,0.351371
7.000000,15.000000,0.566028
23.000000,15.000000,0.353953
34.000000,15.000000,0.235504
39.000000,15.000000,0.951014
53.000000,15.000000,1.143239
55.000000,15.000000,0.362523
74.000000,15.000000,0.404428
76.000000,15.000000,0.211518
79.000000,15.000000,0.375389
87.000000,15.000000,1.132056
91.000000,15.000000,0.494406
95.000000,15.000000,0.448765
110.000000,15.000000,0.598568
111.000000,15.000000,0.609050
116.000000,15.000000,0.426932
133.000000,15.000000,0.662669
147.000000,15.000000,0.787256
6.000000,16.000000,0.629105
12.000000,16.000000,0.479386
20.000000,16.000000,0.615700
26.000000,16.000000,0.629105
38.000000,16.000000,0.836389
40.000000,16.000000,0.605216
51.000000,16.000000,0.708005
52.000000,16.000000,0.471224
98.000000,16.000000,0.836901
101.000000,16.000000,0.544408
104.000000,16.000000,0.462727
119.000000,16.000000,0.738343
121.000000,16.000000,0.264743
128.000000,16.000000,0.603537
144.000000,16.000000,0.287603
146.000000,16.000000,0.899292
29.000000,17.000000,0.258697
32.000000,17.000000,1.135111
41.000000,17.000000,0.519378
55.000000,17.000000,0.931194
74.000000,17.000000,1.095459
83.000000,17.000000,0.695225
95.000000,17.000000,0.941813
96.000000,17.000000,1.576960
111.000000,17.000000,0.717306
116.000000,17.000000,1.135375
133.000000,17.000000,0.684537
147.000000,17.000000,0.823299
13.000000,18.000000,0.545720
21.000000,18.000000,0.313531
25.000000,18.000000,0.486288
30.000000,18.000000,1.040886
47.000000,18.000000,0.739709
49.000000,18.000000,0.353953
72.000000,18.000000,0.695225
77.000000,18.000000,0.711284
81.000000,18.000000,0.506873
89.000000,18.000000,0.432550
92.000000,18.000000,0.531260
97.000000,18.000000,0.143596
99.000000,18.000000,0.698907
120.000000,18.000000,0.988189
124.000000,18.000000,1.575516
150.000000,18.000000,0.337591
11.000000,19.000000,0.332871
22.000000,19.000000,0.165181
33.000000,19.000000,0.769094
46.000000,19.000000,0.297690
66.000000,19.000000,0.583805
69.000000,19.000000,0.509730
80.000000,19.000000,0.264743
84.000000,19.000000,0.607709
88.000000,19.000000,0.295878
96.000000,19.000000,1.724582
117.000000,19.000000,0.297690
123.000000,19.000000,0.675182
134.000000,19.000000,0.538038
5.000000,20.000000,0.540283
12.000000,20.000000,0.817956
16.000000,20.000000,0.615700
28.000000,20.000000,0.794317
38.000000,20.000000,0.878676
45.000000,20.000000,0.668115
51.000000,20.000000,0.132118
68.000000,20.000000,0.808078
105.000000,20.000000,0.619740
121.000000,20.000000,0.646635
128.000000,20.000000,0.473307
141.000000,20.000000,0.503915
144.000000,20.000000,0.388072
149.000000,20.000000,0.873362
13.000000,21.000000,0.709864
18.000000,21.000000,0.313531
25.000000,21.000000,0.610535
30.000000,21.000000,1.104410
47.000000,21.000000,0.746099
49.000000,21.000000,0.320829
77.000000,21.000000,0.832487
81.000000,21.000000,0.443389
89.000000,21.000000,0.551715
92.000000,21.000000,0.545767
97.000000,21.000000,0.260938
120.000000,21.000000,1.072739
124.000000,21.000000,1.568407
142.000000,21.000000,0.753160
150.000000,21.000000,0.480892
11.000000,22.000000,0.282104
19.000000,22.000000,0.165181
33.000000,22.000000,0.646496
46.000000,22.000000,0.179113
65.000000,22.000000,0.607309
66.000000,22.000000,0.529485
69.000000,22.000000,0.486288
70.000000,22.000000,0.756628
80.000000,22.000000,0.235504
84.000000,22.000000,0.520443
88.000000,22.000000,0.270032
96.000000,22.000000,1.678460
117.000000,22.000000,0.179113
123.000000,22.000000,0.583805
134.000000,22.000000,0.432550
7.000000,23.000000,0.524074
15.000000,23.000000,0.353953
34.000000,23.000000,0.287191
55.000000,23.000000,0.545720
74.000000,23.000000,0.425265
76.000000,23.000000,0.476639
79.000000,23.000000,0.467724
90.000000,23.000000,0.606367
91.000000,23.000000,0.473307
110.000000,23.000000,0.586682
116.000000,23.000000,0.531260
7.000000,24.000000,0.503741
36.000000,24.000000,0.308878
52.000000,24.000000,0.545767
54.000000,24.000000,0.295878
61.000000,24.000000,0.581331
63.000000,24.000000,0.760820
68.000000,24.000000,0.524074
78.000000,24.000000,0.487724
85.000000,24.000000,0.620209
90.000000,24.000000,0.486496
91.000000,24.000000,0.551715
101.000000,24.000000,0.648939
104.000000,24.000000,0.583585
110.000000,24.000000,0.464607
121.000000,24.000000,0.544408
122.000000,24.000000,0.535089
129.000000,24.000000,0.607875
139.000000,24.000000,0.637788
140.000000,24.000000,0.562584
143.000000,24.000000,0.211518
4.000000,25.000000,0.533532
13.000000,25.000000,0.179113
18.000000,25.000000,0.486288
21.000000,25.000000,0.610535
49.000000,25.000000,0.374044
72.000000,25.000000,0.258697
86.000000,25.000000,0.476426
89.000000,25.000000,0.538038
97.000000,25.000000,0.494406
99.000000,25.000000,0.337591
112.000000,25.000000,0.517394
114.000000,25.000000,0.586718
136.000000,25.000000,0.270032
142.000000,25.000000,0.290481
150.000000,25.000000,0.432550
12.000000,26.000000,0.760273
16.000000,26.000000,0.629105
37.000000,26.000000,0.375389
61.000000,26.000000,0.709056
78.000000,26.000000,0.758368
104.000000,26.000000,0.464329
119.000000,26.000000,0.836318
121.000000,26.000000,0.576417
144.000000,26.000000,0.734308
146.000000,26.000000,0.494406
149.000000,26.000000,0.699053
59.000000,27.000000,0.386527
72.000000,27.000000,0.506873
73.000000,27.000000,0.487018
86.000000,27.000000,0.448840
99.000000,27.000000,0.424998
106.000000,27.000000,0.462654
112.000000,27.000000,0.362616
114.000000,27.000000,0.599420
132.000000,27.000000,0.358226
136.000000,27.000000,0.562524
142.000000,27.000000,0.452277
148.000000,27.000000,0.287191
5.000000,28.000000,0.406480
8.000000,28.000000,0.704395
20.000000,28.000000,0.794317
45.000000,28.000000,0.665895
50.000000,28.000000,0.529628
57.000000,28.000000,0.984239
60.000000,28.000000,0.725158
61.000000,28.000000,0.684537
64.000000,28.000000,0.714551
68.000000,28.000000,0.545767
78.000000,28.000000,0.664369
82.000000,28.000000,1.044501
93.000000,28.000000,0.432872
103.000000,28.000000,0.756983
105.000000,28.000000,0.258697
128.000000,28.000000,0.476426
138.000000,28.000000,0.700905
141.000000,28.000000,0.612117
9.000000,29.000000,1.167605
17.000000,29.000000,0.258697
32.000000,29.000000,0.997760
41.000000,29.000000,0.395904
55.000000,29.000000,0.948879
74.000000,29.000000,1.076075
83.000000,29.000000,0.929542
95.000000,29.000000,0.943933
96.000000,29.000000,1.551600
111.000000,29.000000,0.789380
116.000000,29.000000,1.090174
133.000000,29.000000,0.759726
147.000000,29.000000,0.943933
18.000000,30.000000,1.040886
21.000000,30.000000,1.104410
47.000000,30.000000,0.970157
77.000000,30.000000,0.452277
81.000000,30.000000,0.763942
89.000000,30.000000,1.151188
92.000000,30.000000,0.747189
97.000000,30.000000,1.044703
120.000000,30.000000,0.594547
124.000000,30.000000,0.583679
150.000000,30.000000,1.170091
12.000000,31.000000,0.938935
39.000000,31.000000,0.606367
40.000000,31.000000,0.778127
53.000000,31.000000,0.370973
76.000000,31.000000,1.113892
87.000000,31.000000,0.660589
95.000000,31.000000,1.105722
111.000000,31.000000,1.144481
119.000000,31.000000,0.991348
146.000000,31.000000,1.019163
147.000000,31.000000,0.896794
7.000000,32.000000,0.741174
9.000000,32.000000,0.782208
17.000000,32.000000,1.135111
29.000000,32.000000,0.997760
34.000000,32.000000,0.772250
41.000000,32.000000,0.798277
44.000000,32.000000,0.699392
55.000000,32.000000,0.774796
63.000000,32.000000,0.812752
76.000000,32.000000,0.681097
79.000000,32.000000,0.529111
91.000000,32.000000,0.669381
95.000000,32.000000,0.601205
116.000000,32.000000,0.576950
11.000000,33.000000,0.675182
14.000000,33.000000,0.688363
19.000000,33.000000,0.769094
22.000000,33.000000,0.646496
46.000000,33.000000,0.551158
65.000000,33.000000,0.235504
70.000000,33.000000,0.335947
80.000000,33.000000,0.760273
96.000000,33.000000,1.384906
117.000000,33.000000,0.551158
123.000000,33.000000,0.727451
134.000000,33.000000,0.520443
7.000000,34.000000,0.445315
15.000000,34.000000,0.235504
23.000000,34.000000,0.287191
32.000000,34.000000,0.772250
44.000000,34.000000,0.560029
55.000000,34.000000,0.533996
74.000000,34.000000,0.432872
76.000000,34.000000,0.335947
79.000000,34.000000,0.323175
90.000000,34.000000,0.621667
91.000000,34.000000,0.311509
95.000000,34.000000,0.601205
110.000000,34.000000,0.452277
116.000000,34.000000,0.512884
2.000000,35.000000,0.362523
3.000000,35.000000,0.407705
42.000000,35.000000,0.388072
43.000000,35.000000,1.043482
45.000000,35.000000,0.553440
56.000000,35.000000,0.165181
57.000000,35.000000,0.976916
58.000000,35.000000,0.424998
62.000000,35.000000,0.645208
64.000000,35.000000,0.424998
67.000000,35.000000,0.772332
75.000000,35.000000,1.093578
93.000000,35.000000,0.710664
100.000000,35.000000,0.822891
107.000000,35.000000,1.775591
108.000000,35.000000,1.118945
113.000000,35.000000,1.912464
115.000000,35.000000,1.498802
125.000000,35.000000,0.869690
127.000000,35.000000,0.591756
141.000000,35.000000,0.681053
7.000000,36.000000,0.604978
24.000000,36.000000,0.308878
44.000000,36.000000,0.606367
54.000000,36.000000,0.355801
61.000000,36.000000,0.642985
63.000000,36.000000,0.627806
78.000000,36.000000,0.534461
82.000000,36.000000,0.947273
91.000000,36.000000,0.583679
103.000000,36.000000,0.692974
110.000000,36.000000,0.591756
122.000000,36.000000,0.400149
129.000000,36.000000,0.464329
139.000000,36.000000,0.452352
143.000000,36.000000,0.455383
6.000000,37.000000,0.375389
9.000000,37.000000,1.181144
26.000000,37.000000,0.375389
61.000000,37.000000,0.650621
63.000000,37.000000,0.868739
68.000000,37.000000,0.802914
78.000000,37.000000,0.718469
104.000000,37.000000,0.760434
121.000000,37.000000,0.774296
122.000000,37.000000,0.834387
146.000000,37.000000,0.698907
149.000000,37.000000,0.591984
12.000000,38.000000,0.673804
16.000000,38.000000,0.836389
20.000000,38.000000,0.878676
40.000000,38.000000,0.804644
51.000000,38.000000,0.945651
52.000000,38.000000,1.008396
98.000000,38.000000,1.039735
101.000000,38.000000,1.068637
119.000000,38.000000,0.933160
128.000000,38.000000,1.040886
130.000000,38.000000,1.527819
135.000000,38.000000,1.110544
144.000000,38.000000,0.661361
12.000000,39.000000,0.975449
15.000000,39.000000,0.951014
31.000000,39.000000,0.606367
40.000000,39.000000,0.598437
53.000000,39.000000,0.374044
55.000000,39.000000,1.036735
76.000000,39.000000,1.004932
87.000000,39.000000,0.674505
111.000000,39.000000,1.082651
119.000000,39.000000,1.001171
147.000000,39.000000,0.993339
12.000000,40.000000,0.531456
16.000000,40.000000,0.605216
31.000000,40.000000,0.778127
38.000000,40.000000,0.804644
39.000000,40.000000,0.598437
52.000000,40.000000,0.695225
53.000000,40.000000,0.732079
87.000000,40.000000,1.020715
101.000000,40.000000,0.746771
104.000000,40.000000,0.609050
119.000000,40.000000,0.532282
121.000000,40.000000,0.803471
144.000000,40.000000,0.744132
146.000000,40.000000,0.982900
9.000000,41.000000,1.182762
17.000000,41.000000,0.519378
29.000000,41.000000,0.395904
32.000000,41.000000,0.798277
55.000000,41.000000,0.788665
74.000000,41.000000,0.821838
79.000000,41.000000,1.048988
83.000000,41.000000,1.191067
95.000000,41.000000,0.787594
96.000000,41.000000,1.663562
111.000000,41.000000,0.699182
116.000000,41.000000,0.961269
133.000000,41.000000,0.677378
147.000000,41.000000,0.910766
2.000000,42.000000,0.477765
3.000000,42.000000,0.313531
5.000000,42.000000,0.562524
35.000000,42.000000,0.388072
45.000000,42.000000,0.264743
50.000000,42.000000,0.663866
56.000000,42.000000,0.464607
58.000000,42.000000,0.758590
64.000000,42.000000,0.544222
67.000000,42.000000,0.674505
75.000000,42.000000,1.101486
93.000000,42.000000,0.576417
105.000000,42.000000,0.668267
107.000000,42.000000,2.012697
108.000000,42.000000,1.106659
113.000000,42.000000,2.087856
115.000000,42.000000,1.399658
126.000000,42.000000,0.819113
127.000000,42.000000,0.435796
130.000000,42.000000,1.739365
135.000000,42.000000,1.030158
137.000000,42.000000,0.925550
141.000000,42.000000,0.595322
2.000000,43.000000,1.330290
3.000000,43.000000,1.351059
35.000000,43.000000,1.043482
56.000000,43.000000,1.073901
58.000000,43.000000,0.941792
64.000000,43.000000,1.079932
67.000000,43.000000,1.302009
100.000000,43.000000,1.287859
107.000000,43.000000,0.919713
113.000000,43.000000,1.179297
125.000000,43.000000,1.220860
7.000000,44.000000,0.568558
32.000000,44.000000,0.699392
34.000000,44.000000,0.560029
36.000000,44.000000,0.606367
63.000000,44.000000,0.661027
79.000000,44.000000,0.568434
91.000000,44.000000,0.382151
110.000000,44.000000,0.684537
122.000000,44.000000,0.615184
129.000000,44.000000,0.445315
139.000000,44.000000,0.362509
2.000000,45.000000,0.476639
3.000000,45.000000,0.432872
5.000000,45.000000,0.421395
20.000000,45.000000,0.668115
28.000000,45.000000,0.665895
35.000000,45.000000,0.553440
