Source,Target,Weight
2.000000,1.000000,259.000000
1.000000,2.000000,259.000000
3.000000,2.000000,314.000000
2.000000,3.000000,314.000000
4.000000,3.000000,350.000000
3.000000,4.000000,350.000000
5.000000,4.000000,402.000000
4.000000,5.000000,402.000000
6.000000,5.000000,352.000000
5.000000,6.000000,352.000000
7.000000,6.000000,131.000000
8.000000,6.000000,154.000000
6.000000,7.000000,131.000000
9.000000,7.000000,134.000000
6.000000,8.000000,154.000000
10.000000,8.000000,116.000000
7.000000,9.000000,134.000000
11.000000,9.000000,128.000000
8.000000,10.000000,116.000000
12.000000,10.000000,105.000000
9.000000,11.000000,128.000000
14.000000,11.000000,106.000000
10.000000,12.000000,105.000000
13.000000,12.000000,115.000000
12.000000,13.000000,115.000000
15.000000,13.000000,127.000000
11.000000,14.000000,106.000000
16.000000,14.000000,121.000000
13.000000,15.000000,127.000000
18.000000,15.000000,112.000000
14.000000,16.000000,121.000000
17.000000,16.000000,114.000000
16.000000,17.000000,114.000000
20.000000,17.000000,125.000000
15.000000,18.000000,112.000000
19.000000,18.000000,130.000000
18.000000,19.000000,130.000000
21.000000,19.000000,124.000000
17.000000,20.000000,125.000000
22.000000,20.000000,125.000000
19.000000,21.000000,124.000000
23.000000,21.000000,150.000000
20.000000,22.000000,125.000000
24.000000,22.000000,145.000000
21.000000,23.000000,150.000000
25.000000,23.000000,211.000000
22.000000,24.000000,145.000000
25.000000,24.000000,159.000000
23.000000,25.000000,211.000000
24.000000,25.000000,159.000000
26.000000,25.000000,375.000000
25.000000,26.000000,375.000000
27.000000,26.000000,343.000000
26.000000,27.000000,343.000000
28.000000,27.000000,327.000000
27.000000,28.000000,327.000000
29.000000,28.000000,246.000000
28.000000,29.000000,246.000000
