Source,Target,LensAverage,LabelAverage
1.000000,228.000000,18.161153,3163.377193
2.000000,318.000000,18.274035,3026.279874
3.000000,384.000000,18.396991,2726.697917
4.000000,445.000000,18.522831,2936.757303
5.000000,462.000000,18.647882,3054.344156
6.000000,1.000000,18.781305,2825.767535
7.000000,498.000000,18.781305,2825.767535
8.000000,541.000000,18.902332,2864.266174
9.000000,492.000000,19.023349,2978.554878
10.000000,198.000000,19.153173,2944.312500
11.000000,218.000000,19.153173,2944.312500
12.000000,192.000000,19.286568,2891.266667
13.000000,183.000000,19.286568,2891.266667
14.000000,178.000000,19.411359,2918.192878
15.000000,159.000000,19.411359,2918.192878
16.000000,179.000000,19.547770,2987.539634
17.000000,149.000000,19.547770,2987.539634
18.000000,154.000000,19.670463,2927.057143
19.000000,161.000000,19.670463,2927.057143
20.000000,157.000000,19.814262,2841.733553
21.000000,147.000000,19.814262,2841.733553
22.000000,167.000000,19.937328,2904.232416
23.000000,160.000000,19.937328,2904.232416
24.000000,151.000000,20.057132,3002.348684
25.000000,153.000000,20.057132,3002.348684
26.000000,151.000000,20.192243,2907.717105
27.000000,153.000000,20.192243,2907.717105
28.000000,174.000000,20.320863,2834.643478
29.000000,171.000000,20.320863,2834.643478
30.000000,183.000000,20.453777,2900.933333
31.000000,177.000000,20.453777,2900.933333
32.000000,171.000000,20.582579,2891.107955
33.000000,181.000000,20.582579,2891.107955
34.000000,182.000000,20.717082,2921.805405
35.000000,188.000000,20.717082,2921.805405
36.000000,238.000000,20.845986,2967.809091
37.000000,202.000000,20.845986,2967.809091
38.000000,504.000000,20.969110,2922.277778
39.000000,507.000000,21.090604,2934.289941
40.000000,490.000000,21.221667,3077.587755
41.000000,463.000000,21.348914,3056.561555
42.000000,448.000000,21.481049,2937.734375
43.000000,399.000000,21.597509,2956.619048
44.000000,306.000000,21.727951,2891.679739
45.000000,2.000000,21.842637,2978.592760
46.000000,216.000000,21.842637,2978.592760
47.000000,1.000000,21.842637,2978.592760
48.000000,2.000000,21.842637,2978.592760
