Id,NSize,LensAverage,LabelAverage
1.000000,1462.000000,-0.453503,14879.984952
2.000000,92.000000,-0.428873,14063.097297
3.000000,1388.000000,-0.428873,14063.097297
4.000000,107.000000,-0.403856,17373.426781
5.000000,107.000000,-0.403856,17373.426781
6.000000,1302.000000,-0.403856,17373.426781
7.000000,2068.000000,-0.375303,23079.385880
8.000000,2291.000000,-0.356034,24598.182890
9.000000,1995.000000,-0.328799,25935.554887
10.000000,2234.000000,-0.302431,26791.223814
11.000000,2412.000000,-0.278941,28408.588308
12.000000,612.000000,-0.258295,29482.952308
13.000000,612.000000,-0.258295,29482.952308
14.000000,726.000000,-0.258295,29482.952308
15.000000,220.000000,-0.238687,24679.714002
16.000000,220.000000,-0.238687,24679.714002
17.000000,567.000000,-0.238687,24679.714002
18.000000,449.000000,-0.205907,13843.414254
19.000000,406.000000,-0.179915,14233.206897
20.000000,386.000000,-0.154762,13856.624352
21.000000,363.000000,-0.129882,13730.027548
22.000000,389.000000,-0.103319,12759.123393
23.000000,407.000000,-0.079244,13592.675676
24.000000,397.000000,-0.053667,14861.682620
25.000000,413.000000,-0.028637,13686.677966
26.000000,432.000000,-0.002893,14171.486111
27.000000,532.000000,0.024562,15478.400376
28.000000,884.000000,0.051701,15045.980769
29.000000,1370.000000,0.074667,14776.367153
30.000000,2543.000000,0.101629,19876.281950
31.000000,62.000000,0.119356,22783.406694
32.000000,2834.000000,0.119356,22783.406694
33.000000,62.000000,0.119356,22783.406694
34.000000,164.000000,0.146846,24377.090510
35.000000,2180.000000,0.146846,24377.090510
36.000000,164.000000,0.146846,24377.090510
37.000000,218.000000,0.173311,24958.708705
38.000000,2482.000000,0.173311,24958.708705
39.000000,218.000000,0.173311,24958.708705
40.000000,2919.000000,0.197390,25073.585464
41.000000,281.000000,0.197390,25073.585464
42.000000,281.000000,0.197390,25073.585464
43.000000,356.000000,0.219815,24961.703536
44.000000,1493.000000,0.219815,24961.703536
45.000000,356.000000,0.219815,24961.703536
46.000000,665.000000,0.219815,24961.703536
47.000000,665.000000,0.219815,24961.703536
48.000000,302.000000,0.242497,22744.136092
49.000000,302.000000,0.242497,22744.136092
50.000000,2078.000000,0.242497,22744.136092
51.000000,885.000000,0.271313,20150.636317
52.000000,530.000000,0.271313,20150.636317
53.000000,529.000000,0.271313,20150.636317
54.000000,2009.000000,0.297328,20892.147835
55.000000,2040.000000,0.320850,20931.260784
56.000000,1778.000000,0.344629,20678.235096
57.000000,1272.000000,0.366923,20292.058962
58.000000,961.000000,0.397044,19585.997919
59.000000,1199.000000,0.424757,19520.823186
60.000000,2315.000000,0.452469,19604.987041
61.000000,120.000000,0.471253,19718.030323
62.000000,2914.000000,0.471253,19718.030323
63.000000,1104.000000,0.497750,20195.028995
64.000000,2069.000000,0.497750,20195.028995
65.000000,1704.000000,0.518986,20128.807770
66.000000,1282.000000,0.518986,20128.807770
67.000000,1523.000000,0.547721,19341.127211
68.000000,1134.000000,0.547721,19341.127211
69.000000,16.000000,0.575120,19266.596282
70.000000,16.000000,0.575120,19266.596282
71.000000,16.000000,0.575120,19266.596282
72.000000,16.000000,0.575120,19266.596282
73.000000,8.000000,0.575120,19266.596282
74.000000,8.000000,0.575120,19266.596282
75.000000,3524.000000,0.575120,19266.596282
76.000000,3732.000000,0.595355,19479.924116
77.000000,58.000000,0.595355,19479.924116
78.000000,58.000000,0.595355,19479.924116
79.000000,2759.000000,0.619126,19422.394288
80.000000,56.000000,0.619126,19422.394288
81.000000,56.000000,0.619126,19422.394288
82.000000,1472.000000,0.638238,19124.974843
83.000000,59.000000,0.638238,19124.974843
84.000000,59.000000,0.638238,19124.974843
85.000000,323.000000,0.657350,19063.152809
86.000000,61.000000,0.657350,19063.152809
87.000000,61.000000,0.657350,19063.152809
88.000000,63.000000,0.700089,21160.992063
89.000000,63.000000,0.700089,21160.992063
90.000000,67.000000,0.723289,21161.022388
91.000000,67.000000,0.723289,21161.022388
92.000000,75.000000,0.749186,21160.966667
93.000000,75.000000,0.749186,21160.966667
94.000000,96.000000,0.774414,21160.994792
95.000000,96.000000,0.774414,21160.994792
